path_x0,path_y0,path_distance00,path_x01,path_y01,path_distance01,path_x02,path_y02,path_distance02,path_x03,path_y03,path_distance03,path_x04,path_y04,path_distance04,path_x05,path_y05,path_distance05,path_x06,path_y06,path_distance06,path_x07,path_y07,path_distance07,path_x08,path_y08,path_distance08,path_x09,path_y09,path_distance09,path_x1,path_y1,path_distance1
-79.71610891,0,4.02757E-05,-81.59914966,0.133612803,0.03803488,-81.70174417,-0.22566526,-0.035146307,-81.70329448,-0.505204694,-0.075227267,-81.79928027,-0.882006229,-0.080893566,-81.80400735,-1.268207819,-0.081998994,-81.84616843,-1.566397829,-0.083676221,-81.77346805,-1.936318675,-0.09352067,-81.85032189,-2.271197915,-0.101673187,-81.9352388,-2.500341706,-0.10740506,-81.88047621,-2.832609624,-0.117466652
-80.03380683,0,4.02495E-05,-81.92995599,0.133358113,0.038013937,-82.03399181,-0.227279461,-0.034928797,-82.03649796,-0.508137756,-0.074723884,-82.13273486,-0.886294292,-0.080545164,-82.13681094,-1.273777715,-0.081709577,-82.18058871,-1.573324062,-0.083308786,-82.10773429,-1.944639464,-0.09304811,-82.1849576,-2.280989692,-0.101061272,-82.27109552,-2.511242113,-0.106798614,-82.21642031,-2.844891755,-0.116774494
-80.35052293,0,4.01801E-05,-82.25980782,0.133055671,0.037982244,-82.36526668,-0.228922547,-0.034701772,-82.36873294,-0.511111654,-0.074187389,-82.46521206,-0.890596082,-0.080175155,-82.46864045,-1.279351146,-0.081391065,-82.51403278,-1.580252046,-0.082908879,-82.44102178,-1.952948072,-0.092538698,-82.51862115,-2.290776225,-0.100398209,-82.60597133,-2.522131764,-0.106150688,-82.55139068,-2.857169692,-0.116024844
-80.66625772,0,4.00719E-05,-82.58872001,0.132688679,0.037954131,-82.69557534,-0.230596651,-0.034465232,-82.70001136,-0.514126906,-0.073619695,-82.79672106,-0.894918121,-0.079779176,-82.79950342,-1.284934925,-0.081038818,-82.84649455,-1.587185348,-0.082475004,-82.77333556,-1.961248354,-0.091990715,-82.85130452,-2.300555626,-0.09968803,-82.93987187,-2.533011616,-0.105463697,-82.88539697,-2.869440979,-0.115223798
-80.98101134,0,3.99289E-05,-82.9166945,0.132257597,0.037926581,-83.02492683,-0.232310661,-0.034212549,-83.03034922,-0.517193261,-0.073013647,-83.12725432,-0.899262045,-0.079357608,-83.12939245,-1.290530023,-0.08065381,-83.17798083,-1.594123172,-0.082010316,-83.10467019,-1.969542416,-0.091404164,-83.18301405,-2.310325616,-0.098935816,-83.2728052,-2.543887928,-0.104734865,-83.21845032,-2.881708982,-0.114371831
-81.29478446,0,3.97555E-05,-83.24373888,0.131754871,0.037904496,-83.3533188,-0.234075715,-0.033934967,-83.35973125,-0.520320002,-0.07236244,-83.4568229,-0.903631388,-0.07890927,-83.45831403,-1.296135366,-0.080239342,-83.50849944,-1.601068442,-0.081514323,-83.43503102,-1.977831563,-0.090780303,-83.51375506,-2.320087612,-0.098143061,-83.60476073,-2.554761506,-0.103966283,-83.55053541,-2.893979565,-0.113466002
-81.60757864,0,3.95561E-05,-83.5698525,0.131160175,0.037905317,-83.68076139,-0.235894094,-0.033632778,-83.68817399,-0.523508715,-0.071667384,-83.78544386,-0.908040877,-0.078421958,-83.78627355,-1.301750283,-0.079798382,-83.83804193,-1.608023847,-0.080986509,-83.76442576,-1.986121237,-0.090116448,-83.84351936,-2.329840038,-0.097313983,-83.93574775,-2.565634729,-0.10315915,-83.88166277,-2.906251151,-0.112511771
-81.91939536,0,3.93351E-05,-83.8950574,0.130480935,0.037918461,-84.00726824,-0.237775445,-0.033299019,-84.01570037,-0.526771766,-0.070919211,-84.11310348,-0.912501207,-0.077887184,-84.11326348,-1.30737004,-0.079337868,-84.16661553,-1.614986722,-0.080432163,-84.09284561,-1.994414833,-0.089411623,-84.17231154,-2.339580966,-0.096453593,-84.26578014,-2.576516965,-0.102307884,-84.21184457,-2.918527915,-0.111508955
-82.23023575,0,3.90969E-05,-84.21935201,0.129714042,0.037943742,-84.33283391,-0.23973938,-0.032916896,-84.34228672,-0.530126654,-0.070103263,-84.43981762,-0.917014503,-0.0773056,-84.43929042,-1.312995229,-0.078859768,-84.49423012,-1.621961419,-0.079849726,-84.4202974,-2.002710587,-0.088670407,-84.50013738,-2.349313231,-0.095562197,-84.59484378,-2.587411441,-0.101412201,-84.54106005,-2.930813628,-0.110456609
-82.5401011,0,3.88462E-05,-84.54273144,0.128844664,0.037992528,-84.65747064,-0.241777928,-0.032497526,-84.66795426,-0.533565188,-0.069231216,-84.76560665,-0.921588391,-0.076672631,-84.7643654,-1.318637487,-0.078355147,-84.82087465,-1.628959774,-0.079229799,-84.74678702,-2.011006845,-0.087897266,-84.8269884,-2.35904023,-0.094639149,-84.92295268,-2.598322484,-0.100471722,-84.86932178,-2.943099387,-0.109367776
-82.84899214,0,3.85868E-05,-84.86521841,0.127870849,0.038063185,-84.9811841,-0.243894352,-0.032040958,-84.99270907,-0.537090604,-0.068303386,-85.09044886,-0.926232673,-0.075981133,-85.08847833,-1.324311046,-0.077812127,-85.14656004,-1.635982452,-0.07857468,-85.07230628,-2.019301393,-0.087096928,-85.1528704,-2.368762535,-0.093687107,-85.25012664,-2.609262522,-0.09947825,-85.19663057,-2.955382872,-0.108248604
-83.15690901,0,3.83221E-05,-85.18680809,0.126795688,0.038149144,-85.30398614,-0.246105538,-0.031533872,-85.31657394,-0.54072532,-0.06730133,-85.41436317,-0.930943121,-0.075238792,-85.41164191,-1.330020182,-0.077229255,-85.47129154,-1.643036023,-0.077880733,-85.39686281,-2.027592591,-0.08627403,-85.47779135,-2.378482628,-0.092706946,-85.57634195,-2.620236104,-0.098430137,-85.52299935,-2.967674444,-0.107093093
-83.46385215,0,3.80547E-05,-85.50749268,0.125610864,0.038255252,-85.62586544,-0.24841161,-0.030979718,-85.63951724,-0.544460927,-0.066237033,-85.73735478,-0.93572777,-0.074440966,-85.7338641,-1.335771425,-0.076602832,-85.79508837,-1.650138126,-0.077133655,-85.72045974,-2.035888773,-0.085423178,-85.80174134,-2.388204251,-0.09169783,-85.90161779,-2.631242732,-0.097332296,-85.84841005,-2.97997423,-0.105904339
-83.76982167,0,3.77871E-05,-85.82730046,0.124290591,0.038403752,-85.94683332,-0.250816575,-0.030378229,-85.96156049,-0.548304086,-0.065108038,-86.05944898,-0.940612439,-0.073565567,-86.05516737,-1.341583111,-0.075917755,-86.11793367,-1.657289413,-0.07633544,-86.04311202,-2.044208117,-0.084529477,-86.12472928,-2.39792402,-0.090666698,-86.22597799,-2.642290558,-0.096181284,-86.17287624,-2.992289184,-0.104679807
-84.07481748,0,3.7523E-05,-86.14622806,0.122845646,0.038580445,-86.26690471,-0.253333314,-0.02972025,-86.28273084,-0.552274086,-0.063899335,-86.38061336,-0.945590128,-0.072622622,-86.37553312,-1.347451891,-0.075180117,-86.43984644,-1.664495129,-0.075484484,-86.36480634,-2.052553996,-0.083592176,-86.44675863,-2.407644696,-0.089614279,-86.54939218,-2.653394402,-0.094965331,-86.49641962,-3.004634832,-0.103408764
